2024-09-21 17:39:31 status half-installed libpam-runtime:all 1.3.1-5ubuntu4
2024-09-21 17:39:32 status unpacked libpam-runtime:all 1.3.1-5ubuntu4
2024-09-21 17:39:33 install libpam0g:armhf <none> 1.3.1-5ubuntu4
2024-09-21 17:39:33 status half-installed libpam0g:armhf 1.3.1-5ubuntu4
2024-09-21 17:39:33 status unpacked libpam0g:armhf 1.3.1-5ubuntu4
2024-09-21 17:39:33 install libpcre2-8-0:armhf <none> 10.34-7
2024-09-21 17:39:33 status half-installed libpcre2-8-0:armhf 10.34-7
2024-09-21 17:39:34 status unpacked libpcre2-8-0:armhf 10.34-7
2024-09-21 17:39:35 install libpcre3:armhf <none> 2:8.39-12build1
2024-09-21 17:39:35 status half-installed libpcre3:armhf 2:8.39-12build1
2024-09-21 17:39:35 status unpacked libpcre3:armhf 2:8.39-12build1
2024-09-21 17:39:36 install libprocps8:armhf <none> 2:3.3.16-1ubuntu2
2024-09-21 17:39:36 status half-installed libprocps8:armhf 2:3.3.16-1ubuntu2
2024-09-21 17:39:36 status unpacked libprocps8:armhf 2:3.3.16-1ubuntu2
2024-09-21 17:39:37 install libselinux1:armhf <none> 3.0-1build2
2024-09-21 17:39:37 status half-installed libselinux1:armhf 3.0-1build2
2024-09-21 17:39:37 status unpacked libselinux1:armhf 3.0-1build2
2024-09-21 17:39:38 install libsemanage-common:all <none> 3.0-1build2
2024-09-21 17:39:38 status half-installed libsemanage-common:all 3.0-1build2
2024-09-21 17:39:38 status unpacked libsemanage-common:all 3.0-1build2
2024-09-21 17:39:39 install libsemanage1:armhf <none> 3.0-1build2
2024-09-21 17:39:39 status half-installed libsemanage1:armhf 3.0-1build2
2024-09-21 17:39:40 status unpacked libsemanage1:armhf 3.0-1build2
2024-09-21 17:39:41 install libsepol1:armhf <none> 3.0-1
2024-09-21 17:39:41 status half-installed libsepol1:armhf 3.0-1
2024-09-21 17:39:41 status unpacked libsepol1:armhf 3.0-1
2024-09-21 17:39:42 install libsmartcols1:armhf <none> 2.34-0.1ubuntu9
2024-09-21 17:39:42 status half-installed libsmartcols1:armhf 2.34-0.1ubuntu9
2024-09-21 17:39:42 status unpacked libsmartcols1:armhf 2.34-0.1ubuntu9
2024-09-21 17:39:43 install libss2:armhf <none> 1.45.5-2ubuntu1
2024-09-21 17:39:43 status half-installed libss2:armhf 1.45.5-2ubuntu1
2024-09-21 17:39:44 status unpacked libss2:armhf 1.45.5-2ubuntu1
2024-09-21 17:39:44 install libsystemd0:armhf <none> 245.4-4ubuntu3
2024-09-21 17:39:44 status half-installed libsystemd0:armhf 245.4-4ubuntu3
2024-09-21 17:39:45 status unpacked libsystemd0:armhf 245.4-4ubuntu3
2024-09-21 17:39:45 install libtinfo6:armhf <none> 6.2-0ubuntu2
2024-09-21 17:39:45 status half-installed libtinfo6:armhf 6.2-0ubuntu2
2024-09-21 17:39:46 status unpacked libtinfo6:armhf 6.2-0ubuntu2
2024-09-21 17:39:47 install libudev1:armhf <none> 245.4-4ubuntu3
2024-09-21 17:39:47 status half-installed libudev1:armhf 245.4-4ubuntu3
2024-09-21 17:39:48 status unpacked libudev1:armhf 245.4-4ubuntu3
2024-09-21 17:39:48 install libuuid1:armhf <none> 2.34-0.1ubuntu9
2024-09-21 17:39:48 status half-installed libuuid1:armhf 2.34-0.1ubuntu9
2024-09-21 17:39:49 status unpacked libuuid1:armhf 2.34-0.1ubuntu9
2024-09-21 17:39:49 install libzstd1:armhf <none> 1.4.4+dfsg-3
